Invoice_No,OBD_No,Billing_Date,Billing_Amount,IOD_Date,Delivery_Days
6526237,78816254,2/6/2022,55.9674,4/2/2022,54
2797513,15704947,2/6/2022,6.0147,2/7/2022,1
3618519,65333444,2/6/2022,23.7881,2/7/2022,2
6212040,12234813,2/6/2022,30.30885,2/8/2022,0
6257165,59333294,2/6/2022,3.2782,2/7/2022,2
8358018,98084362,2/6/2022,51.2919,3/30/2022,51
9096480,47092892,2/6/2022,14.58977,2/7/2022,1
9303860,74762191,2/6/2022,31.71486,3/11/2022,32
1896819,87814824,2/6/2022,15.23106,2/7/2022,3
6580507,45035917,2/6/2022,19.6275,2/7/2022,1
2807965,90036039,2/6/2022,37.37148,3/28/2022,49
3682694,11851318,2/6/2022,15.29235,2/7/2022,2
9465516,78244755,2/6/2022,81.92717,3/29/2022,48
7127307,43918937,2/6/2022,24.07406,3/4/2022,25
8232901,99816008,2/6/2022,14.1318,2/7/2022,1
3758261,36485314,2/6/2022,14.1318,2/7/2022,2
9513896,94218004,2/6/2022,4.23085,2/7/2022,1
7327376,33935665,2/6/2022,43.81404,3/28/2022,47
3928532,74474823,2/6/2022,57.7711,3/19/2022,40
5625093,84295529,2/6/2022,8.97832,2/7/2022,0
3367380,76191073,2/6/2022,55.40688,3/31/2022,49
7532672,13558085,2/6/2022,21.31893,2/8/2022,2
5318013,69560041,2/6/2022,39.69702,3/28/2022,47
3732048,29373816,2/6/2022,5.38678,2/7/2022,2
9192471,99909325,2/6/2022,14.58977,2/7/2022,2
6228273,20446456,2/6/2022,3.8477,2/7/2022,2
3088344,59394697,2/6/2022,11.62196,2/7/2022,3
1366998,96082490,2/6/2022,4.1334,2/7/2022,2
1126685,21271974,2/6/2022,24.4596,2/7/2022,0
6208860,90805956,2/6/2022,122.3388,4/2/2022,53
9643030,73030901,2/6/2022,34.09328,4/2/2022,54
5816676,53163522,2/6/2022,59.2319,3/29/2022,48
3541974,26910776,2/6/2022,11.84638,2/7/2022,1
6168412,45806372,2/6/2022,42.16068,3/29/2022,50
1718625,21140488,2/6/2022,39.68064,2/19/2022,11
6822105,97869173,2/6/2022,27.05091,3/15/2022,33
1789668,78278565,2/7/2022,33.95237,3/12/2022,30
6668492,30214797,2/7/2022,41.05868,3/31/2022,49
7912027,12770043,2/7/2022,22.4458,2/8/2022,0
2483454,68188974,2/7/2022,63.97053,4/1/2022,52
2562856,68421330,2/7/2022,36.37392,3/2/2022,19
5191722,47600104,2/7/2022,31.086,3/28/2022,47
8006151,81785421,2/7/2022,51.2919,4/3/2022,53
3787226,90314075,2/7/2022,129.1354,3/30/2022,46
2461125,50446284,2/7/2022,86.83158,4/2/2022,52
3797649,28320051,2/7/2022,5.41323,2/8/2022,1
4135173,83907211,2/7/2022,49.173,4/1/2022,53
4732016,45599800,2/7/2022,10.9914,2/8/2022,2
8811505,79608534,2/7/2022,18.3447,2/8/2022,3
3505796,45767883,2/7/2022,20.20122,2/8/2022,1
5497912,66630973,2/7/2022,47.69622,3/13/2022,30
2670620,29923261,2/7/2022,51.25416,3/30/2022,48
5509143,63705619,2/7/2022,26.93496,2/8/2022,2
3877765,24185631,2/7/2022,9.13154,2/8/2022,1
1917070,81526237,2/7/2022,9.3258,2/8/2022,1
9311563,77484308,2/7/2022,21.15425,2/8/2022,0
7388675,76393065,2/7/2022,37.11073,2/16/2022,5
6685375,90919608,2/7/2022,48.48102,4/3/2022,53
1425670,40283277,2/7/2022,3.07816,2/8/2022,1
6583198,16511082,2/7/2022,0.65564,2/8/2022,2
2340899,99626514,2/7/2022,23.69276,2/28/2022,21
5189267,60283960,2/7/2022,54.957,3/30/2022,51
7619755,72717139,2/7/2022,68.139,3/31/2022,51
8544846,51341326,2/7/2022,40.78562,4/2/2022,52
1786700,96786855,2/8/2022,51.0315,4/2/2022,53
9849978,70553759,2/8/2022,50.2464,4/4/2022,51
8277586,75082102,2/8/2022,24.4596,2/9/2022,3
5107261,78791077,2/8/2022,21.57735,2/9/2022,1
5114426,54653615,2/8/2022,12.31264,2/9/2022,2
3812022,35940199,2/8/2022,38.6121,3/7/2022,25
7210394,58419630,2/8/2022,54.4005,4/2/2022,52
8427751,19704171,2/8/2022,67.16088,3/30/2022,48
2904087,93198888,2/8/2022,22.00042,3/26/2022,45
8914881,29830506,2/8/2022,1.86558,2/9/2022,1
8369810,83721970,2/8/2022,12.12627,2/9/2022,2
9042423,92529913,2/8/2022,29.84928,3/26/2022,46
8316711,78790977,2/8/2022,38.08035,3/13/2022,30
7516222,14829577,2/8/2022,24.0588,3/16/2022,32
4634051,16956379,2/8/2022,84.17175,3/30/2022,48
1843636,44917589,2/8/2022,55.03461,3/30/2022,47
2046824,68307918,2/8/2022,39.08045,2/9/2022,2
2766506,21209886,2/8/2022,3.2782,2/9/2022,3
6986539,39962391,2/8/2022,40.40244,2/22/2022,11
4617410,89836952,2/8/2022,78.35985,4/3/2022,53
8582208,38617525,2/8/2022,54.5112,3/24/2022,39
9735237,35036788,2/8/2022,1.66028,2/9/2022,2
2807987,55079377,2/8/2022,27.05091,2/20/2022,12
6827492,48223995,2/8/2022,27.9774,3/1/2022,17
5635017,84597009,2/8/2022,56.07195,2/22/2022,13
8931340,89248292,2/8/2022,56.5272,4/3/2022,49
7030106,83800393,2/8/2022,89.27754,4/4/2022,53
6042717,96330701,2/8/2022,40.29849,4/3/2022,50
5430962,94446701,2/8/2022,7.85603,2/9/2022,0
8337083,40389627,2/8/2022,23.14704,2/19/2022,8
8584481,17193605,2/8/2022,34.0695,3/15/2022,32
2660521,31923376,2/8/2022,55.64685,3/5/2022,24
1749161,20135716,2/8/2022,39.4795,2/26/2022,16
3805415,33875551,2/8/2022,5.61145,2/9/2022,2
5606698,48143010,2/8/2022,39.01658,3/1/2022,18
2512844,37320792,2/8/2022,43.99742,4/4/2022,50
5889688,94946730,2/8/2022,59.69856,3/31/2022,46
8737862,17954442,2/8/2022,47.57229,4/2/2022,50
