OBD_No,OBD_Date,Goods_Issue_Time,Pick_Time,Pick_Date
10004793,9/18/2024,30:00.0,00:00.0,9/18/2024
10007168,0001-01-01,00:00.0,00:00.0,0001-01-01
10012470,11/23/2022,00:00.0,15:00.0,11/25/2022
10012511,6/25/2022,45:00.0,15:00.0,6/27/2022
10013474,1/20/2024,15:00.0,45:00.0,1/21/2024
10016550,5/10/2022,15:00.0,45:00.0,5/11/2022
10026256,0001-01-01,00:00.0,00:00.0,0001-01-01
10031902,11/1/2023,00:00.0,00:00.0,0001-01-01
10034722,10/3/2022,45:00.0,30:00.0,10/5/2022
10035826,11/18/2023,45:00.0,15:00.0,11/19/2023
10036337,0001-01-01,00:00.0,00:00.0,0001-01-01
10038671,12/8/2022,15:00.0,30:00.0,12/8/2022
10043257,5/15/2022,00:00.0,30:00.0,5/15/2022
10043447,2/13/2024,30:00.0,00:00.0,0001-01-01
10046077,3/1/2022,00:00.0,30:00.0,3/1/2022
10054319,1/18/2023,45:00.0,00:00.0,1/18/2023
10054856,0001-01-01,00:00.0,00:00.0,0001-01-01
10056967,6/13/2023,30:00.0,00:00.0,0001-01-01
10059482,12/4/2023,45:00.0,00:00.0,0001-01-01
10062027,9/16/2024,45:00.0,00:00.0,0001-01-01
10062336,10/2/2022,00:00.0,00:00.0,10/3/2022
10065449,0001-01-01,00:00.0,00:00.0,0001-01-01
10066454,6/6/2023,30:00.0,00:00.0,0001-01-01
10070858,9/1/2023,45:00.0,15:00.0,9/3/2023
10071931,9/28/2022,15:00.0,00:00.0,9/28/2022
10072871,6/19/2022,45:00.0,00:00.0,6/20/2022
10075476,0001-01-01,00:00.0,00:00.0,0001-01-01
10076576,5/13/2022,00:00.0,45:00.0,5/13/2022
10076758,1/21/2022,15:00.0,45:00.0,1/23/2022
10080009,2/22/2023,15:00.0,15:00.0,2/23/2023
10080232,11/13/2023,15:00.0,00:00.0,0001-01-01
10084808,0001-01-01,00:00.0,00:00.0,0001-01-01
10087862,3/13/2023,00:00.0,45:00.0,3/15/2023
10092847,7/13/2022,30:00.0,30:00.0,7/15/2022
10098442,8/17/2022,15:00.0,30:00.0,8/17/2022
10103235,12/5/2023,45:00.0,15:00.0,12/7/2023
10106162,0001-01-01,00:00.0,00:00.0,0001-01-01
10107104,9/18/2022,00:00.0,00:00.0,9/19/2022
10113187,0001-01-01,00:00.0,00:00.0,0001-01-01
10113880,0001-01-01,00:00.0,00:00.0,0001-01-01
10124737,7/15/2023,30:00.0,15:00.0,7/17/2023
10128848,0001-01-01,00:00.0,00:00.0,0001-01-01
10130079,6/15/2023,00:00.0,45:00.0,6/16/2023
10131289,8/22/2022,45:00.0,15:00.0,8/23/2022
10131375,6/11/2022,30:00.0,00:00.0,6/11/2022
10135406,0001-01-01,00:00.0,00:00.0,0001-01-01
10137666,2/26/2023,45:00.0,00:00.0,0001-01-01
10146265,8/28/2023,45:00.0,15:00.0,8/30/2023
10147197,1/5/2022,45:00.0,00:00.0,1/6/2022
10147286,4/7/2022,30:00.0,45:00.0,4/9/2022
10151477,1/1/2024,30:00.0,15:00.0,1/1/2024
10154493,2/20/2023,30:00.0,00:00.0,2/20/2023
10156208,10/15/2023,30:00.0,00:00.0,10/15/2023
10156612,5/18/2023,30:00.0,00:00.0,5/20/2023
10159801,8/18/2022,15:00.0,00:00.0,8/20/2022
10162044,7/30/2022,30:00.0,00:00.0,8/1/2022
10162459,2/1/2023,15:00.0,30:00.0,2/3/2023
10162494,0001-01-01,00:00.0,00:00.0,0001-01-01
10169422,4/22/2023,30:00.0,30:00.0,4/23/2023
10170384,10/20/2023,15:00.0,00:00.0,0001-01-01
10174491,0001-01-01,00:00.0,00:00.0,0001-01-01
10175550,1/7/2024,45:00.0,00:00.0,0001-01-01
10175799,0001-01-01,00:00.0,00:00.0,0001-01-01
10176075,4/18/2022,00:00.0,00:00.0,4/19/2022
10187152,8/12/2023,45:00.0,00:00.0,8/12/2023
10191149,12/19/2023,00:00.0,15:00.0,12/21/2023
10192600,11/6/2022,00:00.0,00:00.0,11/6/2022
10193841,3/20/2022,45:00.0,00:00.0,3/21/2022
10194969,12/19/2023,45:00.0,00:00.0,0001-01-01
10196027,12/11/2023,00:00.0,00:00.0,0001-01-01
10197662,0001-01-01,00:00.0,00:00.0,0001-01-01
10199996,8/25/2023,45:00.0,15:00.0,8/26/2023
10200744,0001-01-01,00:00.0,00:00.0,0001-01-01
10201327,4/24/2022,00:00.0,15:00.0,4/24/2022
10201545,4/23/2022,30:00.0,15:00.0,4/23/2022
10202363,5/19/2022,00:00.0,30:00.0,5/20/2022
10202454,11/26/2023,15:00.0,00:00.0,0001-01-01
10205861,0001-01-01,00:00.0,00:00.0,0001-01-01
10209894,10/17/2023,30:00.0,00:00.0,0001-01-01
10211873,6/21/2023,45:00.0,45:00.0,6/22/2023
10212187,0001-01-01,00:00.0,00:00.0,0001-01-01
10212273,10/2/2023,45:00.0,00:00.0,0001-01-01
10212821,7/3/2023,45:00.0,00:00.0,7/3/2023
10214901,12/7/2022,00:00.0,15:00.0,12/7/2022
10216790,11/16/2023,15:00.0,15:00.0,11/17/2023
10220722,1/6/2024,30:00.0,45:00.0,1/6/2024
10220861,7/12/2023,00:00.0,00:00.0,7/13/2023
10221153,12/26/2022,30:00.0,45:00.0,12/26/2022
10224753,3/19/2022,00:00.0,45:00.0,3/21/2022
10228733,8/14/2022,15:00.0,30:00.0,8/14/2022
10236882,1/16/2024,00:00.0,15:00.0,1/18/2024
10243970,0001-01-01,00:00.0,00:00.0,0001-01-01
10247780,1/14/2022,15:00.0,45:00.0,1/14/2022
10250524,11/1/2023,00:00.0,00:00.0,0001-01-01
10250607,10/29/2023,15:00.0,00:00.0,0001-01-01
10259056,1/13/2024,30:00.0,30:00.0,1/13/2024
10261534,1/8/2022,15:00.0,00:00.0,1/10/2022
10262390,2/23/2024,00:00.0,45:00.0,2/23/2024
10264286,7/22/2022,00:00.0,15:00.0,7/24/2022
10264907,4/27/2023,15:00.0,00:00.0,0001-01-01
10265290,2/20/2022,00:00.0,00:00.0,2/22/2022
10265598,9/21/2023,45:00.0,15:00.0,9/22/2023
10267319,0001-01-01,00:00.0,00:00.0,0001-01-01
10267483,0001-01-01,00:00.0,00:00.0,0001-01-01
10270663,2/15/2022,00:00.0,45:00.0,2/15/2022
10271452,5/14/2022,45:00.0,30:00.0,5/16/2022
10276462,4/8/2022,15:00.0,00:00.0,4/9/2022
10279945,6/12/2023,00:00.0,30:00.0,6/12/2023
10281871,5/12/2022,00:00.0,15:00.0,5/14/2022
10286137,11/22/2023,45:00.0,00:00.0,0001-01-01
10292428,11/27/2023,45:00.0,00:00.0,0001-01-01
10294869,0001-01-01,00:00.0,00:00.0,0001-01-01
10298696,2/2/2022,45:00.0,15:00.0,2/4/2022
10298939,1/20/2023,45:00.0,15:00.0,1/21/2023
10299883,0001-01-01,00:00.0,00:00.0,0001-01-01
10302045,4/23/2022,00:00.0,45:00.0,4/23/2022
10304210,0001-01-01,00:00.0,00:00.0,0001-01-01
10310959,0001-01-01,00:00.0,00:00.0,0001-01-01
10317389,0001-01-01,00:00.0,00:00.0,0001-01-01
10323611,12/30/2023,45:00.0,15:00.0,1/1/2024
10326238,0001-01-01,00:00.0,00:00.0,0001-01-01
