Product,Year,Month,Supplying_Plant_Code,Channel,Sales_Office_ID,Invoice_No,Invoice_Date,Ship_to_Code_City,OBD_No,QTY,Sales_Value
LuxFridge R5000,2023,1/1/2023,833,MT,119,1000864,1/12/2023,Shirgaon,97593071,21,1736028
CoolBox R1000,2022,3/1/2022,303,MT,123,1001005,3/24/2022,Chennai,47670102,69,5309826
UltraCool R8000,2022,1/1/2022,854,E-com,115,1001021,1/24/2022,Sadabad,87111120,33,2163612
TopCool R1000,2024,3/1/2024,765,E-com,103,1001094,3/5/2024,Hamirpur,54107285,6,471060
TurboConvection O9,2024,3/1/2024,242,E-com,121,1001172,5/11/2024,Kaloor,75866125,52,4316728
FreshBreeze-300,2023,3/1/2023,130,MT,114,1001307,5/24/2023,Yavatmal,11426516,68,8316264
CleanAir-C100,2024,10/1/2024,242,Normal Trade,111,1001433,10/26/2024,Thamarassery,46364093,51,4757229
FreshCool R2000,2024,3/1/2024,754,Normal Trade,100,1001435,3/5/2024,Gwalior,43331239,41,6966515
PowerMix,2022,4/1/2022,765,Normal Trade,103,1001447,4/1/2022,Mandi gowindgarh,65824971,33,3703557
FreshFreeze R2800,2024,11/1/2024,130,E-com,114,1001549,11/7/2024,Raigarh,NULL,83,6553597
BakePro O3000,2023,3/1/2023,132,E-com,112,1001773,5/30/2023,Mathura,78786515,17,1022499
FreshFreeze R2800,2024,3/1/2024,130,E-com,114,1002022,3/2/2024,Wardha,74123707,4,315836
WM-TL10,2024,6/1/2024,754,MT,122,1002231,6/7/2024,Bhavnagar,18758869,59,4585185
FreshFreeze R2800,2024,8/1/2024,328,Normal Trade,104,1002442,8/5/2024,Tirupattur,78688875,27,2131893
FreshBreeze-300,2023,12/1/2023,754,E-com,100,1002475,12/24/2023,Bhavnagar,27994059,68,8316264
WM-TL10,2024,2/1/2024,242,MT,121,1002647,2/23/2024,Kannur,10923377,39,3030885
TopCool R1000,2024,10/1/2024,303,MT,123,1002847,10/16/2024,West godavari,22199793,72,5652720
WM-101SA,2022,4/1/2022,658,Normal Trade,108,1003092,4/30/2022,Nandavanam,29693143,50,5678250
TurboConvection O9,2024,3/1/2024,859,Normal Trade,120,1003309,3/17/2024,Mahim,96452013,51,4233714
BakePro O3000,2022,11/1/2022,125,MT,101,1003575,11/17/2022,Mysore,35803109,1,60147
FreshBreeze-300,2024,11/1/2024,323,MT,117,1003734,11/11/2024,Panajigoa,NULL,77,9416946
LuxFridge R5000,2022,2/1/2022,132,Normal Trade,112,1004139,2/5/2022,Mau,45202115,70,5786760
TopCool R1000,2023,12/1/2023,792,E-com,106,1004141,12/6/2023,Porvorim,53397675,66,5181660
