Spare_Part,Unit_Price,Vendor_Code
sp1,1954.34,1289
sp10,186.41,1168
sp100,2596.26,1144
sp1000,2580.81,1076
sp10000,311.44,1189
sp1001,388.13,1180
sp1002,2088.47,1028
sp1003,1678.95,1113
sp1004,2935.74,1256
sp1005,1140.15,1085
sp1006,1254.6,1108
sp1007,650.44,1213
sp1008,454.26,1194
sp1009,2559.3,1216
sp101,133.29,1223
sp1010,1418.68,1296
sp1011,2022.03,1283
sp1012,1960.94,1263
sp1013,1831.72,1127
sp1014,161.94,1124
sp1015,2381.7,1071
sp1016,806.35,1138
sp1017,465.18,1115
sp1018,1737.28,1113
sp1019,298.97,1035
sp102,2190.09,1202
sp1020,2318.96,1211
sp1021,700.76,1009
sp1022,726.26,1257
sp1023,2622.12,1246
sp1024,1052.82,1136
sp1025,527.91,1167
sp1026,2711.54,1196
sp1027,108.22,1090
sp1028,2589.38,1061
sp1029,519.6,1284
sp103,2076.96,1190
sp1030,476.98,1014
sp1031,826.9,1204
sp1032,606.04,1108
sp1033,2017.07,1267
sp1034,174.76,1000
sp1035,143.09,1042
sp1036,2390.96,1130
sp1037,790,1034
sp1038,1038.94,1073
sp1039,605.31,1222
sp104,1657.21,1097
sp1040,251.96,1177
sp1041,2250.98,1101
sp1042,1625.65,1110
sp1043,2262.43,1000
sp1044,1481.11,1031
sp1045,2356.25,1054
sp1046,1588.39,1291
sp1047,416.26,1015
sp1048,1561.13,1084
sp1049,2841.71,1260
sp105,873.79,1148
sp1050,225.76,1281
sp1051,2371.36,1037
sp1052,2614.24,1201
sp1053,1612.21,1242
sp1054,1428.32,1135
sp1055,2895.68,1044
sp1056,276.39,1114
sp1057,1489.05,1101
sp1058,1264.69,1025
sp1059,2089.68,1199
sp106,1958.79,1296
sp1060,1521.78,1136
sp1061,2738.13,1212
sp1062,313.12,1290
sp1063,334.29,1034
sp1064,1864.06,1161
sp1065,290.48,1057
sp1066,897.55,1008
sp1067,1935.92,1213
sp1068,1690.23,1273
sp1069,1043.04,1079
sp107,423.5,1173
sp1070,2984.42,1042
sp1071,1638.61,1144
sp1072,1415.77,1097
sp1073,1855.74,1228
sp1074,387.62,1153
sp1075,2135.16,1060
sp1076,2573.1,1016
sp1077,1987.66,1158
sp1078,2329.99,1264
sp1079,2190.44,1188
sp108,1360.82,1242
sp1080,723.57,1267
sp1081,1409.51,1257
sp1082,762.63,1206
sp1083,1082.9,1022
sp1084,1415.15,1125
sp1085,1306.37,1158
sp1086,375.75,1192
sp1087,1337.62,1200
sp1088,2028.81,1222
sp1089,1185.47,1266
sp109,1415.8,1113
sp1090,542.65,1252
sp1091,2776.66,1147
sp1092,294.69,1182
sp1093,2512.14,1270
sp1094,370.37,1289
sp1095,380.04,1166
sp1096,2242.51,1293
sp1097,2454.13,1209
sp1098,1713.48,1085
sp1099,1800.75,1218
sp11,734.05,1239
sp110,2866.07,1203
sp1100,1728.6,1155
sp1101,1055.97,1072
sp1102,454.47,1079
sp1103,1125.43,1183
sp1104,2029.49,1191
sp1105,2275.82,1206
sp1106,2617.47,1111
sp1107,2191.08,1167
sp1108,2908.36,1252
sp1109,1841.19,1272
sp111,2639.97,1000
sp1110,1119.77,1150
sp1111,1775.96,1253
sp1112,716.94,1300
sp1113,2004.54,1239
sp1114,750.31,1258
sp1115,413.83,1106
sp1116,2551.58,1118
sp1117,1165.93,1081
sp1118,2311.56,1019
sp1119,1764.89,1230
sp112,863.83,1089
sp1120,2440.94,1287
sp1121,2550.95,1114
sp1122,2926.19,1207
sp1123,2473.44,1275
sp1124,1879.36,1284
sp1125,1963.83,1098
sp1126,176.14,1239
sp1127,2794.34,1221
sp1128,2505.44,1221
sp1129,875.6,1275
sp113,1551.7,1171
sp1130,623.21,1008
sp1131,2137.83,1010
sp1132,996.06,1267
sp1133,1085.49,1150
sp1134,117.71,1219
sp1135,2622.6,1065
